City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Clyde River,CA,70.4692,-68.5914,42.46,66,19,14.25,few clouds
240,Husavik,IS,66.0449,-17.3389,54.03,84,89,5.06,overcast clouds
241,Alpine,US,32.835,-116.7664,93.9,44,0,7.0,clear sky
242,Cooma,AU,-36.2333,149.1333,33.57,100,100,8.05,overcast clouds
243,Orthez,FR,43.4884,-0.7724,72.88,67,18,4.12,few clouds
244,Ugoofaaru,MV,5.6667,73.0,80.19,82,96,10.38,overcast clouds
245,Griffith,US,41.5284,-87.4237,77.14,67,0,10.36,clear sky
246,Alofi,NU,-19.0595,-169.9187,77.27,70,13,15.97,few clouds
247,Djenne,ML,13.9061,-4.5533,76.96,76,99,11.74,overcast clouds
248,Outjo,NA,-20.1167,16.15,62.53,22,0,3.98,clear sky
249,Pacifica,US,37.6138,-122.4869,81.43,75,20,24.16,few clouds
250,Luanda,AO,-8.8368,13.2343,67.78,88,2,7.49,clear sky
251,San Policarpo,PH,12.1791,125.5072,78.24,84,100,2.71,overcast clouds
252,Dunedin,NZ,-45.8742,170.5036,44.8,53,3,5.01,clear sky
253,San Cristobal,VE,7.7669,-72.225,78.98,75,64,4.09,broken clouds
254,Sao Filipe,CV,14.8961,-24.4956,80.08,83,83,3.56,broken clouds
255,Oistins,BB,13.0667,-59.5333,82.49,83,40,17.27,scattered clouds
256,Luena,AO,-11.7833,19.9167,55.74,23,0,4.36,clear sky
257,Henties Bay,NA,-22.116,14.2845,53.8,92,3,6.96,clear sky
258,Flinders,AU,-34.5833,150.8552,56.17,74,100,8.01,overcast clouds
259,Ola,RU,59.5833,151.2833,57.15,90,100,14.72,light rain
260,Ezequiel Montes,MX,20.6667,-99.8833,74.35,46,80,15.77,broken clouds
261,Mizque,BO,-17.941,-65.3402,51.98,87,88,4.61,overcast clouds
262,Xai-Xai,MZ,-25.0519,33.6442,65.35,93,0,4.81,clear sky
263,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,17.27,scattered clouds
264,Ginir,ET,7.1333,40.7,59.88,72,100,11.79,overcast clouds
265,Vysokogornyy,RU,50.1167,139.15,60.57,69,100,6.71,overcast clouds
266,Manacor,ES,39.5696,3.2096,81.39,59,0,3.6,clear sky
267,Obera,AR,-27.4871,-55.1199,49.41,99,100,5.64,overcast clouds
268,Rocky Mountain House,CA,52.3668,-114.9188,73.63,53,0,11.63,clear sky
269,Rassvet,RU,46.8333,40.75,71.35,55,0,7.07,clear sky
270,Sartell,US,45.6216,-94.2069,82.33,48,0,8.05,clear sky
271,Pa Sang,TH,18.5262,98.9394,75.4,94,70,1.19,broken clouds
272,Byron Bay,AU,-28.65,153.6167,58.71,80,70,12.64,broken clouds
273,Kaitangata,NZ,-46.2817,169.8464,39.15,61,6,7.11,clear sky
274,Watertown,US,42.3709,-71.1828,85.6,81,100,11.5,overcast clouds
275,Teya,RU,60.3778,92.6267,59.41,99,100,1.43,light rain
276,Iqaluit,CA,63.7506,-68.5145,52.7,62,97,1.99,overcast clouds
277,Pevek,RU,69.7008,170.3133,44.51,86,100,8.79,light rain
278,Viedma,AR,-40.8135,-62.9967,50.36,58,68,12.46,broken clouds
279,Coihaique,CL,-45.5752,-72.0662,44.55,70,75,3.44,broken clouds
280,Jiuquan,CN,39.7432,98.5174,70.93,71,17,2.84,few clouds
281,Quelimane,MZ,-17.8786,36.8883,68.47,92,0,5.08,clear sky
282,Tarauaca,BR,-8.1614,-70.7656,80.2,74,99,4.72,moderate rain
283,Kaniama,CD,-7.5667,24.1833,72.66,30,1,4.12,clear sky
284,Guerrero Negro,MX,27.9769,-114.0611,83.73,52,34,15.43,scattered clouds
285,Pasighat,IN,28.0667,95.3333,76.53,99,100,3.71,overcast clouds
286,Ibaiti,BR,-23.8486,-50.1878,56.98,95,100,5.68,moderate rain
287,Gizo,SB,-8.103,156.8419,82.94,72,96,4.59,overcast clouds
288,La Romana,DO,18.4273,-68.9728,84.56,74,100,13.8,overcast clouds
289,Itarema,BR,-2.9248,-39.9167,78.51,79,12,17.72,few clouds
290,Kissidougou,GN,9.1848,-10.0999,69.51,99,77,3.47,moderate rain
291,Rosarito,MX,32.3333,-117.0333,88.66,61,23,6.8,few clouds
292,Dunn,US,44.95,-91.8835,81.16,52,0,6.91,clear sky
293,Castlemaine,AU,-37.0667,144.2167,41.29,85,100,7.43,overcast clouds
294,Parkersburg,US,39.2667,-81.5615,81.52,82,0,0.0,clear sky
295,Yar-Sale,RU,66.8333,70.8333,47.57,74,19,8.93,few clouds
296,Grand Gaube,MU,-20.0064,57.6608,65.37,71,48,5.01,scattered clouds
297,Suhbaatar,MN,50.2314,106.2078,60.57,60,99,1.14,overcast clouds
298,Matagami,CA,49.7502,-77.6328,69.73,52,0,8.01,clear sky
299,Kahului,US,20.8947,-156.47,89.62,61,40,28.77,scattered clouds
300,Genhe,CN,50.7833,121.5167,52.84,91,100,3.98,overcast clouds
301,Rock Falls,US,41.7798,-89.689,80.58,57,20,5.75,few clouds
302,Riyadh,SA,24.6877,46.7219,100.54,15,63,12.15,broken clouds
303,Khani,GE,41.9563,42.9566,63.97,73,4,5.99,moderate rain
